route_variant_name,route_name,directionid,routevarianttypeid,route,route_variant_number,contractid,operator_name,regionname,route_distance,email,mobilephone,homephone,workphone,address,st_length(shape)
Paterson to Dungog Schools via Vacy,Paterson to Dungog Schools via Vacy,In,School,S189,S189-1,C0422,Cooma Coaches,RRPBC C0422,53.13,gferris@coomacoaches.com.au,0418 214 135,02 6452 4841,02 6452 4841,"7 Holland Road Polo Flat, COOMA, NSW, 2630",63151.81116879279
Ebor to Armidale Schools,Ebor to Armidale Schools,In,School,S323,S323-12,P0208,Edwards Coaches,RRPBC P0208,101.15,james@edwardscoaches.com.au,02 6772 3116,02 6772 3116,02 6772 3116,"2 Drew Street, ARMIDALE, NSW, 2350",117470.56070502831
Albury to Aware Programs Wodonga via Lavington,Albury to Aware Programs Wodonga via Lavington,In,Regular,910,910-6,P0202,Martins Albury,RRPBC P0202,21.97,david@martinsalbury.com.au,0408 216 745,02 6040 4400,,"66 Fallon Street, ALBURY, NSW, 2640",27214.24697438144
Emerson/Luxford to St Marys Stn,MtDruitt - StMarys Via Shalvey/Tregear,In,Regular,758,758-65,GSBC001,Busways R1,GSBC Contract 1,8.44,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",10170.52538490002
Westby Rd to Culcairn Schools via Holbrook,Westby Rd to Culcairn Schools via Holbrook,In,School,S758,S758-2,C0417,Kanes Buses,RRPBC C0417,57.67,admin@kanesbuses.com.au,0427 480 514,02 6929 3257,0427 480 514,"14 Yankee Crossing Road, HENTY, NSW, 2658",71016.27769983247
Blayney Schools to Newbridge Rd,Newbridge Rd to Blayney Schools,Out,School,S797,S797-1,P0201,Newman's Bus Service,RRPBC P0201,24.19,admin@newmansfuelsandbuses.com.au,0417454206,0417454206,63682634,"3 Maria Street, BLAYNEY, NSW, 2799",29080.79323560614
"Gosford Station, Stand A to Wyong Station, Stand B",Wyong to Gosford,Out,Regular,19,19-15,OMBSC007,Redbus CDC NSW,OMBSC Contract 7,46.94,jodie.mallia@cdcbus.com.au,0243328655,,,"28 Prosperity St, TRUGANINA, VIC, 3029",56325.4586090507
Mullumbimby Schools to Ewingsdale via Myocum,Ewingsdale to Mullumbimby Schools via Myocum,Out,School,S969,S969-2,C0605,G & N Bus Services,RRPBC C0605,55.79,gnbusservices@bigpond.com,0416 086 141,6684 4210,02 6684 4210 ,,63465.67660305365
Kiama to Jamberoo & Minnamurra Falls,Kiama to Jamberoo & Minnamurra Falls,Out,Regular,125,125-4,S0310,Kiama Coaches,RRBSC S0310,9.32,kim@kiamacoaches.com.au,0418 425 770,02 4232 3466,(02) 4232 3466,"154 Shoalhaven Street, KIAMA, NSW, 2533",11337.009480532486
Crookwell Schools to Diamond Rd,Diamond Rd to Crookwell Schools,Out,School,S764,S764-2,C0812,Laggan Bus Company,RRPBC C0812,9.8,tdsk3lly@gmail.com.au,0488 373 135,,0488373135,,11907.198947822886
Bowraville Central School to Macksville PS,School Service,Out,School,S327,S327-8122,L0817,Busways,RRBSC L0817,14.2,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",16542.1332932157
Schnapper/Bream to Woy Woy Stn,Woy Woy & Booker Bay viaEttalongBeach&SpringwoodSt,In,Regular,53,53-63,OMBSC006,Busways OMR6,OMBSC Contract 6,7.12,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",8559.65785724475
Bingara Central to Bingara-Copeton Dam Rd (Link),Bingara-Copeton Dam Rd to Bingara Central (Link),Out,School,S645,S645-2,C0774,R & N Bilsborough,RRPBC C0774,104.21,admin@bilsboroughs.com.au,0427 460 490,,,"58 Old Barraba Rd,, BINGARA, NSW, 2404",120370.52543782794
11 Customs House to Charlestown,Charlestown to Newcastle,Out,Regular,11,11-38,NISC001,Newcastle Transport,NISC Bus,23.31,contact@newcastletransport.info,0402 027 065,02 4974 1651 ,,"89 Denison Street, HAMILTON, NSW, 2303",27836.744654711336
Rocky Ponds to Yeoval Schools,Rocky Ponds to Yeoval Schools,In,School,S223,S223-1,C0434,Pecton Pty Ltd,RRPBC C0434,39.48,fiona@langleyscoaches.com.au,0419 608 168,02 6882 8977,02 6882 8977,"4 Jannali Road, DUBBO, NSW, 2830",47098.13545679883
Palmers Island PS to Lake/Candole,School Service,Out,School,S753,S753-60104,L0816,Busways,RRBSC L0816,27.45,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",31532.864736501557
"Lidcombe Stn, Railway St, Std C - East Hills Stn, ",East Hills to Lidcombe via Bankstown,Out,Regular,925,925-193,GSBC003,Transit Systems NSW,GSBC Contract 3,20.78,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",25102.1197147826
Albion Park Rail PS - Albion Park Rail,Woollybutt Dr bf Jarrah Way to Albion Park Rail PS ,Out,School,S058,S058-2,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,5.19,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",6316.894878760959
Thurgoona to Albury & North Albury Schools via Quicks Hill,Thurgoona to Albury & North Albury Schools via Quicks Hill,In,School,S804,S804-1,P0202,Martins Albury,RRPBC P0202,25.88,david@martinsalbury.com.au,0408 216 745,02 6040 4400,,"66 Fallon Street, ALBURY, NSW, 2640",32037.137887743713
Lilyvale St - Helensburgh,Stanwell Tops - Helensburgh,In,Regular,15,15-31,OSMBSC009,Premier Charters,OSMBSC Contract 9,3.6,compliance9@premierillawarra.com.au,0437229577,02 4271 1322,(02) 4271 1322,"145 Walker Street, HELENSBURGH, NSW, 2508",4360.283024556585
South Durras to Broulee via Malua Bay ,South Durras to Broulee via Malua Bay,In,School,S462,S462-1,P0204,Priors Bus Service,RRPBC P0204,46.94,priorsbus@sctelco.net.au,0406425449,02 44724040,(02) 4472 4040,"2 Hughes Street, BATEMANS BAY, NSW, 2536",57903.13087335712
Holmwood Public School to Cowra Public School,Cowra Public School to Holmwood Public School,Out,School,S925,S925-2,S0320,Cowra Bus Service,RRBSC S0320,10.52,info@cowrabus.com.au,0427 421 021,02 6342 1021,,"93 / 99 Redfern Street, COWRA, NSW, 2794",12689.923805405211
Callala and Currarong to Nowra via Myola,Callala and Currarong to Nowra via Myola,In,Regular,120,120-40,V0313,Nowra Coaches,RRBSC V0313,38.6,johnk@premierms.com.au,02 4423 5244,0413168800,02 4423 5244,"10 Investigator Street, NOWRA, NSW, 2541",47195.448782913125
Sturt Hwy (Paringi) to Gol Gol Public School,Paringi-Gol Gol North to Gol Gol Public School,In,School,S119,S119-11,S0217,CDC Mildura,RRBSC S0217,30.83,cdcmildura@cdcbus.com.au,0413 958 057,0408037448,03 50230274,"8-10 Bathurst Court, MILDURA, VIC, 3500",37367.38978500719
Dulwich Hill R/S: Ewart St to Sydenham Station: Stand E,Dulwich Hill to Sydenham,In,Planned Replacement,SW1,SW1-244,PRBTTP02,U-Go Mobility,,3.8200000000000003,Leanne.frederiksen@u-gomobility.com,0411018331,,,,4608.912431299654
Marsfield - Busaco Rd to Wynyard,Marsfield to City via Lane Cove Tunnel,In,Express,293,293-49,GSBC007,Busways North West,GSBC Contract 7,19.69,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",23744.024773739613
Kangaroo Bus - Calala to Oxley High,Kangaroo Bus - Calala to Oxley High,In,School,S117,S117-1,M0812,Tamworth Buslines,RRBSC M0812,32.5,info@buslinegroup.com.au,0418214135,,,"21 Hume Street, TAMWORTH, NSW, 2340",38054.07341689536
Graman-Inverell,Graman-Inverell,Out,School,S255,S255-11,S0702,Cavanagh Bus & Coach,RRBSC S0702,116.67,manager@cavanaghbus.com.au,0490 832 297,6562 7800,,"1 Tozer St, KEMPSEY, NSW, 2440",134409.01978319028
Moreton Park Rd (Spaniards Main) - Campbelltown St,Campbelltown to Menangle via Menangle Park,In,Regular,889,889-50,GSBC002,Transit Systems NSW SW,GSBC Contract 2,23.69,hfraser@transitsystems.com.au,0482 189 107,02 9123 8630,,"49 Percival Road, SMITHFIELD, NSW, 2164",28694.14581776882
Taree to Manning Point (Loop Service),Taree to Manning Point (Loop Service),In,Regular,315,315-1,P0200,Eggins Coaches,RRPBC P0200,65.02,info@egginscomfortcoaches.com.au,0427 522 702,0265 522700,02 6552 2700 ,"2 Elizabeth Avenue, TAREE, NSW, 2430",76760.25512596744
Duck Bus  Buxton Public to Tahmoor Public via Balmoral,Buxton Public to Tahmoor Public via Balmoral,Out,School,S869,S869-1,P0203,Picton Buslines,RRPBC P0203,28.11,info@pictonbuslines.com.au,0407 417 936,02 4677 1564,,"18 Wonga Rd, PICTON, NSW, 2571",34112.99880358889
Camel Bus  Wollondilly Anglican Coll to Buxton via Camden Schools and Douglas Park,Wollondilly Anglican Coll to Buxton via Camden Schools and Douglas Park,Out,School,S850,S850-1,P0203,Picton Buslines,RRPBC P0203,101.45,info@pictonbuslines.com.au,0407 417 936,02 4677 1564,,"18 Wonga Rd, PICTON, NSW, 2571",122884.59658856885
Blighty to Deniliquin Schools via Warragoon,Blighty to Deniliquin Schools via Warragoon,Out,School,S520,S520-11,P0224,Dysons Buslines,RRPBC P0224,42.87,emaidment@dysongroup.com.au,0439 116 398,,,"89 MCCrabb Road, DENILIQUIN, NSW, 2710",52720.219921244214
Rabaul/McEvoy to Woy Woy PS,Woy Woy & Umina Beach via Umina Wes-Ext.CastleCct,In,Regular,57,57-61,OMBSC006,Busways OMR6,OMBSC Contract 6,6.8100000000000005,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",8181.062488157872
Bathurst Schools to Limekilns Rd,Limekilns Rd to Bathurst Schools,Out,School,S773,S773-2,C0439,Sinclair Buses ,RRPBC C0439,51.11,office@sinclairbusservices.com.au,0414 349 342,,,"8 Newcastle Place, KELSO, NSW, 2795",61330.92349676449
White Rock Rd to Bathurst Schools,White Rock Rd to Bathurst Schools,In,School,S784,S784-1,C0415,Newman's Bus Service,RRPBC C0415,20.39,admin@newmansfuelsandbuses.com.au,0417454206,0417454206,63682634,"3 Maria Street, BLAYNEY, NSW, 2799",24502.304809255722
McCristal/Jagera (7 McCristal Dr) to Bowra/Bonville,Macksviile-Nambucca-VallaBeach-Urunga-Bellingen,Out,Regular,358,358-110,L0817,Busways,RRBSC L0817,19.93,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",23138.987325510927
Calderwood Christian College - Shellharbour PS,Shellharbour Rd opp Barrack Av to Tongara College ,Out,School,S125,S125-2,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,25.96,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",31577.611895882124
Westfield Miranda: Stand 5 to Miranda Station: Stand 8,Miranda to Yowie Bay (Loop Service),In,Regular,973,973-15,GSBC010,U-Go Mobility,GSBC Contract 10,7.15,Leanne.frederiksen@u-gomobility.com,0411018331,,,,8647.461185028773
Picton Station To Tahmoor,Tahmoor to Picton via Thirlmere,Out,Regular,912,912-22,P0203,Picton Buslines,RRPBC P0203,18.46,info@pictonbuslines.com.au,0407 417 936,02 4677 1564,,"18 Wonga Rd, PICTON, NSW, 2571",22361.175783474457
Sheep Bus - Bowral Public to Chevalier College & Moss Vale Schools,Sheep Bus - Mittagong Public to Colo Vale Schools & Hill Top Schools via Aylmerton,In,School,S875,S875-3,M0306,Berrima Buslines,RRBSC M0306,18.87,info@buslinesgroup.com.au,0408682627,,,"1 Burwood Rd,, BURWOOD, NSW, 2134",22957.615778292813
106 - West Nowra to Nowra-Loop,106 - West Nowra to Nowra-Loop,In,Regular,106,106-1,M0309,Nowra Coaches,RRBSC M0309,8.73,johnk@premierms.com.au,02 4423 5244,0413168800,02 4423 5244,"10 Investigator Street, NOWRA, NSW, 2541",10662.512776450132
North Haven PS to Ocean Dr/Third (Shel,School Service,Out,School,S513,S513-55120,L0822,Busways,RRBSC L0822,12.7,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",14959.449935656181
Maitland to Cessnock,Maitland to Cessnock,Out,Regular,164,164-34,OSMBSC001,Rover Motors,OSMBSC Contract 1,35.23,mat@rovercoaches.com.au,0249901699,,,"231 Vincent Street, CESSNOCK, NSW, 2325",42004.362564421106
Cessnock to Millfield (Loop Service),Cessnock to Millfield (Loop Service),Out,Regular,168,168-11,OSMBSC001,Rover Motors,OSMBSC Contract 1,37.26,mat@rovercoaches.com.au,0249901699,,,"231 Vincent Street, CESSNOCK, NSW, 2325",44466.39914741181
Barooga to Cobram Schools via Barooga Rd,Barooga to Cobram Schools via Barooga Rd,In,School,S324,S324-1,P0222,Baldwin's Buses,RRPBC P0222,14.58,baldwinsbusses@bigpond.com,0358743355,0427 743 344,03 5874 3355,"15-23 Hannah Street, TOCUMWAL, NSW, 2714",18023.695640070997
Doyle St near Maitland St to Doyle St near Maitland St,Narrabri West to Narrabri (Loop Service),In,Regular,457,457-19,S0798,Forest Coach Lines,RRBSC S0798,5.8100000000000005,info.fcl@cdcbus.com.au,0413498237,02 6652 3201 ,02 6653 3345,,6741.738199859259
(Clockwise loop) Glenfield Park to Wagga Wagga via Bruce St and Turvey Park ED:6310,Glenfield Park to Wagga Wagga via Bruce St and Turvey Park,In,Regular,963,963-9,L0326,Busabout Wagga,RRBSC L0326,9.74,depot.manager@busaboutwagga.com.au,0429 300 063,02 4631 4200,0259426600,"264 Hammond Avenue, EAST WAGGA WAGGA, NSW, 2650",11927.748807250917
Port Central to Port Central,Port Macquarie to Wauchope (Loop Service),In,Regular,336,336-16,L0822,Busways,RRBSC L0822,61.15,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",71781.20166967876
Duck Bus - Gormans Hill to Burraga (Loop Service),Duck Bus - Gormans Hill to Burraga (Loop Service),Out,School,S749,S749-2,M0301,Bathurst Buslines,RRBSC M0301,161.98,info@buslinesgroup.com.au,0418 214 135,,,,195283.2308167978
"Blackbutts Rd opp Frenchs Forest Showground to Chatswood Station, Stand C",Davidson to Chatswood,In,Regular,281,281-7,GSBC014,CDC NSW R14,GSBC Contract 14,17.67,fcl.buses@cdc.com.au,0450 900 176,02 9450 2277,,"29 Prosperity Street,, TRUGANINA, VIC, 3029",21300.097140489426
Pomona Rd / Wills Rd to Wentworth Public School,Pomona to Wentworth Pub. Sch.,In,School,S124,S124-14,V0298,CDC Mildura,RRBSC V0298,47.29,cdcmildura@cdcbus.com.au,0413 958 057,0408037448,03 50230274,"8-10 Bathurst Court, MILDURA, VIC, 3500",57208.647736475505
Pollock/Johns to Wadalba HS (Orchid W,School Service,In,School,2112,2112-6197,OMBSC006,Busways OMR6,OMBSC Contract 6,11.54,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",13830.330006225307
St Philips Christian to Woy Woy Stn,Gosford Hospital & WoyWoy/Ettalong via Glenrock Pd,Out,Regular,70,70-81,OMBSC006,Busways OMR6,OMBSC Contract 6,14.53,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",17460.705015723768
Panda Bus - Gormans Hill to Bathurst PS via Kelso High,Panda Bus - Gormans Hill to Bathurst PS via Kelso High,In,School,S705,S705-1,M0301,Bathurst Buslines,RRBSC M0301,28.61,info@buslinesgroup.com.au,0418 214 135,,,,34345.32917504338
Bray/Hannaford to Tyalla PS,School Service,In,School,S302,S302-75100,L0817,Busways,RRBSC L0817,21.08,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",24433.012675372178
Town East - Hovell St to Cootamundra Schools via Cootamundra,Town East - Hovell St to Cootamundra Schools via Cootamundra,In,School,S649,S649-1,C0659,Jan - Joh Bus Service,RRPBC C0659,19.1,joshjc17@gmail.com,0429424421,,,"10 Bradman Street, COOTAMUNDRA, NSW, 2590",23256.72865465189
"Muhammadi Welfare Assoc, Blaxcell - Hurstville Stn",Hurstville to Parramatta via Chester Hill and Pads,Out,Regular,M91,M91-282,GSBC003,Transit Systems NSW,GSBC Contract 3,25.83,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",31191.76434221337
Elk Bus - Duri to Timbumburi PS via West Tamworth,Elk Bus - Duri to Timbumburi PS via West Tamworth,In,School,S125,S125-1,M0812,Tamworth Buslines,RRBSC M0812,63.01,info@buslinegroup.com.au,0418214135,,,"21 Hume Street, TAMWORTH, NSW, 2340",73813.9470008453
Port Central to Port Central,TheRuinsWayViaBaseHospital,In,Regular,325,325-93,L0822,Busways,RRBSC L0822,28.46,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",33422.589540540925
Meadow Flat Public to Mount Lambie,Mount Lambie to Meadow Flat Public,Out,School,S665,S665-2,C0809,Tawilla Holdings Pty Ltd,RRPBC C0809,36.83,tawilla@bigpond.com,0409712267,,,,44233.44410575716
Tea Gardens PS to Tuloa/Kingfisher,School Service,Out,School,S664,S664-85039,M0821,Busways,RRBSC M0821,14.55,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",17323.164045219244
Thurgoona to Albury via Charles Sturt University & Lavington,Thurgoona to Albury via Charles Sturt University & Lavington,Out,Regular,908,908-4,P0202,Martins Albury,RRPBC P0202,17.33,david@martinsalbury.com.au,0408 216 745,02 6040 4400,,"66 Fallon Street, ALBURY, NSW, 2640",21457.367821551838
Rouse Hill Stn to Blacktown Station,Rouse Hill to Blacktown via Stanhope Gardens,In,Regular,731,731-13,GSBC001,Busways R1,GSBC Contract 1,11.57,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",13955.378208243324
Broadwater to Lismore Schools & Goonellabah Schools via Wyrallah,Broadwater to Lismore Schools & Goonellabah Schools via Wyrallah,In,School,S264,S264-3,C0734,Quinns Buses,RRPBC C0734,69.28,quinnsbuses@hotmail.com,0428 282 137,,,,79123.69646513439
Wollongbar TAFE College to Alstonville & Ballina,Wollongbar TAFE College to Alstonville & Ballina,Out,School,S532,S532-2,M0823,Ballina Buslines,RRBSC M0823,20.76,info@buslinesgroup.com.au,02 9747 7000,,,"1 Burwood Rd, BURWOOD, NSW, 2134",23681.33990643397
"Threlfall St & North Rd to Auburn Station, Stand C",Auburn to Macquarie Centre via Eastwood,Out,Regular,544,544-48,GSBC007,Busways North West,GSBC Contract 7,16.68,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",20127.313309062934
Colo HS to Blaxlands Ridge Rd/P,School Service,Out,School,5621,5621-62038,GSBC001,Busways R1,GSBC Contract 1,22.89,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",27511.390536572348
Lake Haven Shops to Lake Haven Shops,Wyong & Blue Haven/Chain Valley Bay via Lake Haven,In,Regular,98,98-194,OMBSC006,Busways OMR6,OMBSC Contract 6,47.89,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",57361.30680436138
Lion Bus - Eugowra Schools to Trajere via Nanami,Lion Bus - Trajere to Eugowra Schools via Nanami,Out,School,S588,S588-2,C0723,Forbes Buslines,RRPBC C0723,88.43,hennocks@bigpond.com,0419 424 320,,,"131 Wambat Street, FORBES, NSW, 2871",106288.58558188655
Waterloo Rd to Narromine via Farrendale Rd,Waterloo Rd to Narromine via Farrendale Rd,In,School,S526,S526-1,C0530,Bushtrack Bus Co,RRPBC C0530,23.53,paulcurr72@gmail.com,0427927363,02 6892 7363,02 6892 7363,"Mountain View 936 Melrose Plains Road, TRUNDLE, NSW, 2875",27923.068885253564
Park Ave Opp. Little to McCristal/Jagera (7 ,Bellingen-Raleigh-Bonville-Toormina-Coffs,Out,Regular,361,361-67,L0817,Busways,RRBSC L0817,45.57,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",52908.6012607821
Coonamble Schools to Combara,Coonamble to Coonamble Schools via Combara,Out,School,S620,S620-2,C0384,Campbell & Wright Buses,RRPBC C0384,31.36,mooneyjane@outlook.com,0429993212,,,,36709.08758866259
Bomaderry to Nowra via Bomaderry Station (Loop Service),Bomaderry to Nowra via Bomaderry Station (Loop Service),In,Regular,131,131-20,P0206,Shoalbus,RRPBC P0206,17.97,info@shoalbus.com.au,0410349370,02 4423 2122,(02) 4423 2122,"12 Concorde Way, BOMADERRY, NSW, 2541",21934.694058040644
Springwood Station to Westfield Penrith,Springwood- Penrith,In,Regular,690P,690P-157,OSMBSC008,Blue Mountains Trans,OSMBSC Contract 8,22.18,jodie.mallia@cdcbus.com.au,0411 196 865,,,"25 Great Western Highway, VALLEY HEIGHTS, NSW, 2777",26732.801124586782
"Wee Waa to 6 Cooma Rd, Narrabri West PS",Yarrie Lake to Narrabri Schools,In,School,S626,S626-3,V0575,Forest Coach Lines,RRBSC V0575,54.2,info.fcl@cdcbus.com.au,0413498237,02 6652 3201 ,02 6653 3345,,62916.79897265355
Skunk Bus - Summerland Christian Coll to Lismore via Blue Hills Coll & East Lismore,Skunk Bus - Summerland Christian Coll to Lismore via Blue Hills Coll & East Lismore,Out,School,S378,S378-2,M0814,Nthn Rivers Buslines,RRBSC M0814,22.36,info@buslinesgroup.com.au,0418 214 135,,,"1 Burwood Road, BURWOOD, NSW, 2134",25511.972721613576
South West Rocks to Kempsey,South West Rocks to Kempsey,In,Regular,348,348-1,M0818,Cavanagh Bus & Coach,RRBSC M0818,10.31,manager@cavanaghbus.com.au,0490 832 297,6562 7800,,"1 Tozer St, KEMPSEY, NSW, 2440",12031.775844627293
Penola Catholic College to Penrith Stn,School Service,Out,School,4059,4059-3035,GSBC001,Busways R1,GSBC Contract 1,4.01,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",4823.211757043673
Shark Bus - Forbes Reymond St to Forbes Schools,Shark Bus - Forbes Reymond St to Forbes Schools,In,School,S454,S454-1,C0278,Forbes Buslines,RRPBC C0278,22.51,hennocks@bigpond.com,0419 424 320,,,"131 Wambat Street, FORBES, NSW, 2871",27041.70679759676
Penrith Stn to Mt Druitt Station,Mt Druitt to Penrith via St Clair,Out,Regular,776,776-90,GSBC001,Busways R1,GSBC Contract 1,25.62,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",30892.567552224267
Port Macquarie HS to Pacific Mwy/Wharf,School Service,Out,School,S553,S553-60167,L0822,Busways,RRBSC L0822,48.31,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",56700.68379203099
Domremy College Five Dock - Burwood Westfield,Domremy Five Dock - Burwood Stn,Out,School,673s,673s-5,SBSC006,Transit Systems West,SBSC Contract 6,3.75,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",4528.356082617704
Ourimbah PS (Dog Trap) to Ourimbah Creek Rd,School Service,Out,School,2629,2629-74080,OMBSC006,Busways OMR6,OMBSC Contract 6,10.23,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",12276.777425841025
Bellmount Forest to Antill St Intg,Bellmount Forest - Canberra Boys via Antill St,In,School,S272,S272-16,M0237,QCity Transit,RRBSC M0237,55.67,capitalinfo@cdcbus.com.au,0413 498 237,,,"11 Bass Street, QUEANBEYAN, NSW, 2620",68225.97590809222
Cowra to Wyangala Dam via Darbys Falls,Wyangala Dam to Cowra via Darbys Falls,Out,School,S201,S201-2,C0780,Riverside Bus,RRPBC C0780,47.65,lachlancabs@bigpond.com,0407 921 021,02 6342 6996,02 6342 1541,"13-15 Grenfell Road, COWRA, NSW, 2794",57537.67534071014
